movie_name,full_date,revenue_vnd,tickets_sold,showtimes
100 Mét,2025-11-22,0,0,8
Anh Trai Say Xe,2025-11-22,3493740877,35333,5120
Bẫy Hồi Sinh,2025-11-22,60950000,5930,108
Bẫy Tiền,2025-11-22,26008048,2910,2388
Bịt Mắt Bắt Nai,2025-11-22,2110000,260,10
Chainsaw Man - The Movie: Chương Reze,2025-11-22,27391300,1770,20
Công Tử Bạc Liêu,2025-11-22,0,5160,4
Cưới Vợ Cho Cha,2025-11-22,1559411205,12942,3314
Cải Mả,2025-11-22,27944000,3550,34
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,2025-11-22,2472000,420,5
Cục Vàng Của Ngoại,2025-11-22,17902141,1610,22
G-Dragon In Cinema: Übermensch,2025-11-22,177269590,8860,72
Gió Vẫn Thổi,2025-11-22,29929797,2620,12
Godzilla Trừ Một,2025-11-22,93058916,7730,104
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,2025-11-22,1195000,240,28
KHI TA YÊU,2025-11-22,18763000,2110,231
Không Bông Tuyết Nào Trong Sạch,2025-11-22,159222417,12920,239
Kỳ An Nghỉ,2025-11-22,131081354,12620,886
Lọ Lem Chơi Ngải,2025-11-22,211808001,27800,299
Mùi Cỏ Cháy,2025-11-22,35780000,6210,12
Mộ Đom Đóm,2025-11-22,18012852,1600,39
Núi Tế Vong,2025-11-22,239783841,31190,585
Onoda - 10.000 Đêm Trong Rừng,2025-11-22,3150000,450,7
Oán Hồn Trong Vali,2025-11-22,35049000,3640,227
Paddington: Gấu Thủ Chu Du,2025-11-22,450000,30,28
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,2025-11-22,63516500,7520,52
Quái Thú Vô Hình: Vùng Đất Chết Chóc,2025-11-22,427040230,6195,682
Sư Thầy Gặp Siêu Lầy,2025-11-22,217453383,21590,489
Tafiti Náo Loạn Sa Mạc,2025-11-22,1250376955,14635,1544
Tee Yod 3: Quỷ Ăn Tạng,2025-11-22,6208600,460,4
Thai Chiêu Tài,2025-11-22,3675000,430,30
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,2025-11-22,2099500,190,4
Thần Dược,2025-11-22,7590000,1040,29
Truy Tìm Long Diên Hương,2025-11-22,28599691532,138473,17124
Trái Tim Què Quặt,2025-11-22,2000000,200,15
Trốn Chạy Tử Thần,2025-11-22,106865755,7770,453
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,2025-11-22,33057333,4370,165
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,2025-11-22,16480000,2750,15
Wicked 2: For Good,2025-11-22,3087894794,21973,2991
