movie_name,revenue_vnd,tickets_sold,showtimes,ranking
Truy Tìm Long Diên Hương,6111862804,88405,8390,1
Cưới Vợ Cho Cha,788131820,12522,1634,2
Anh Trai Say Xe,669474446,9223,2,3
Wicked 2: For Good,248975646,2301,1304,4
Lọ Lem Chơi Ngải,63093784,11360,152,5
Sư Thầy Gặp Siêu Lầy,48900172,5720,252,6
G-Dragon In Cinema: Übermensch,46909998,2940,26,7
Quái Thú Vô Hình: Vùng Đất Chết Chóc,46757590,5200,294,8
Núi Tế Vong,44022136,7320,254,9
Tafiti Náo Loạn Sa Mạc,32989936,4580,452,10
Kỳ An Nghỉ,25350430,3050,372,11
Không Bông Tuyết Nào Trong Sạch,19421024,1900,132,12
Trốn Chạy Tử Thần,17553412,1600,182,13
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,11398332,1460,70,14
Chainsaw Man - The Movie: Chương Reze,6784450,470,12,15
Cải Mả,6568000,1380,20,16
Mộ Đom Đóm,6456000,680,18,17
KHI TA YÊU,5228000,660,90,18
Oán Hồn Trong Vali,5040000,660,102,19
Godzilla Trừ Một,2600156,220,44,20
Gió Vẫn Thổi,1924998,180,8,21
Cục Vàng Của Ngoại,1706000,200,12,22
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1470000,200,2,23
Thai Chiêu Tài,1360000,200,8,24
Bẫy Hồi Sinh,1194000,140,40,25
Thần Dược,1180000,180,14,26
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,520000,40,10,27
Bịt Mắt Bắt Nai,490000,100,4,28
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,330000,60,6,29
Trái Tim Què Quặt,220000,40,2,30
Bẫy Tiền,100000,20,264,31
100 Mét,0,0,2,32
Linh Miêu: Quỷ Nhập Tràng,0,2780,2,33
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,0,0,10,34
Tee Yod 3: Quỷ Ăn Tạng,0,0,2,35
Paddington: Gấu Thủ Chu Du,0,0,14,36
