id,film_name,revenue_raw,tickets_raw,showtimes_raw,scraped_date,source,revenue_clean,tickets_clean,showtimes_clean
39,100 Mét,0,0.0,2.0,2025-11-22,,0,0,2
38,Công Tử Bạc Liêu,0,130.0,1.0,2025-11-22,,0,1300,1
37,Paddington: Gấu Thủ Chu Du,150.000,1.0,7.0,2025-11-22,,150000,10,7
36,Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,310.000,7.0,7.0,2025-11-22,,310000,70,7
35,Bịt Mắt Bắt Nai,650.000,8.0,3.0,2025-11-22,,650000,80,3
34,Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,1.279.000,19.0,2.0,2025-11-22,,1279000,190,2
33,Onoda - 10.000 Đêm Trong Rừng,1.340.000,19.0,2.0,2025-11-22,,1340000,190,2
32,Trái Tim Què Quặt,1.600.000,16.0,4.0,2025-11-22,,1600000,160,4
31,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,1.768.000,16.0,1.0,2025-11-22,,1768000,160,1
30,Tee Yod 3: Quỷ Ăn Tạng,1.875.000,14.0,1.0,2025-11-22,,1875000,140,1
29,Thần Dược,2.060.000,29.0,6.0,2025-11-22,,2060000,290,6
28,Thai Chiêu Tài,2.250.000,26.0,7.0,2025-11-22,,2250000,260,7
27,Cục Vàng Của Ngoại,5.684.000,51.0,5.0,2025-11-22,,5684000,510,5
26,Mộ Đom Đóm,5.745.500,51.0,10.0,2025-11-22,,5745500,510,10
25,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,6.295.000,105.0,4.0,2025-11-22,,6295000,1050,4
24,KHI TA YÊU,7.602.000,86.0,54.0,2025-11-22,,7602000,860,54
23,Chainsaw Man - The Movie: Chương Reze,9.871.000,67.0,5.0,2025-11-22,,9871000,670,5
22,Cải Mả,10.098.000,126.0,9.0,2025-11-22,,10098000,1260,9
21,Gió Vẫn Thổi,12.039.000,102.0,3.0,2025-11-22,,12039000,1020,3
20,Oán Hồn Trong Vali,12.796.000,132.0,54.0,2025-11-22,,12796000,1320,54
19,Bẫy Tiền,13.193.012,120.0,562.0,2025-11-22,,13193012,1200,562
18,Mùi Cỏ Cháy,13.805.000,240.0,3.0,2025-11-22,,13805000,2400,3
17,Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,15.633.000,194.0,42.0,2025-11-22,,15633000,1940,42
16,Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,19.661.000,241.0,13.0,2025-11-22,,19661000,2410,13
15,Bẫy Hồi Sinh,22.385.000,216.0,27.0,2025-11-22,,22385000,2160,27
14,Godzilla Trừ Một,34.713.500,293.0,26.0,2025-11-22,,34713500,2930,26
13,Trốn Chạy Tử Thần,54.118.051,395.0,114.0,2025-11-22,,54118051,3950,114
12,Kỳ An Nghỉ,66.681.483,621.0,220.0,2025-11-22,,66681483,6210,220
11,G-Dragon In Cinema: Übermensch,66.860.000,302.0,18.0,2025-11-22,,66860000,3020,18
10,Không Bông Tuyết Nào Trong Sạch,76.065.785,601.0,61.0,2025-11-22,,76065785,6010,61
9,Sư Thầy Gặp Siêu Lầy,95.961.964,968.0,124.0,2025-11-22,,95961964,9680,124
8,Lọ Lem Chơi Ngải,108.115.364,1.454,78.0,2025-11-22,,108115364,1454,78
7,Núi Tế Vong,112.497.236,1.468,151.0,2025-11-22,,112497236,1468,151
6,Quái Thú Vô Hình: Vùng Đất Chết Chóc,197.966.554,1.64,172.0,2025-11-22,,197966554,164,172
5,Tafiti Náo Loạn Sa Mạc,544.659.700,4.786,375.0,2025-11-22,,544659700,4786,375
4,Cưới Vợ Cho Cha,878.758.380,10.598,835.0,2025-11-22,,878758380,10598,835
3,Wicked 2: For Good,1.206.387.938,8.664,738.0,2025-11-22,,1206387938,8664,738
2,Anh Trai Say Xe,1.850.660.252,18.741,1.269,2025-11-22,,1850660252,18741,1269
1,Truy Tìm Long Diên Hương,13.521.906.049,143.911,4.315,2025-11-22,,13521906049,143911,4315
