Tên phim,Doanh thu,Vé,Suất chiếu
Truy Tìm Long Diên Hương,3.073.176.132,44.459,4.196
Cưới Vợ Cho Cha,398.326.160,6.326,817
Anh Trai Say Xe,337.716.723,4.654,1.120
Wicked 2: For Good,125.058.323,1.155,652
Lọ Lem Chơi Ngải,31.792.892,572,76
Sư Thầy Gặp Siêu Lầy,24.703.586,289,126
G-Dragon In Cinema: Übermensch,23.454.999,147,13
Quái Thú Vô Hình: Vùng Đất Chết Chóc,23.454.045,261,147
Núi Tế Vong,22.125.068,368,127
Tafiti Náo Loạn Sa Mạc,16.644.968,231,226
Kỳ An Nghỉ,12.828.715,155,186
Không Bông Tuyết Nào Trong Sạch,9.977.512,97,66
Trốn Chạy Tử Thần,8.921.706,81,91
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,6.153.166,76,35
Chainsaw Man - The Movie: Chương Reze,3.774.725,26,6
Cải Mả,3.284.000,69,10
Mộ Đom Đóm,3.228.000,34,9
Oán Hồn Trong Vali,2.650.000,35,51
KHI TA YÊU,2.614.000,33,45
Godzilla Trừ Một,1.300.078,11,22
Gió Vẫn Thổi,962.499,9,4
Cục Vàng Của Ngoại,853.000,10,6
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,735.000,10,1
Thai Chiêu Tài,680.000,10,4
Bẫy Hồi Sinh,597.000,7,20
Thần Dược,590.000,9,7
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,260.000,2,5
Bịt Mắt Bắt Nai,245.000,5,2
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,165.000,3,3
Trái Tim Què Quặt,110.000,2,1
Bẫy Tiền,50.000,1,132
100 Mét,0,0,1
Paddington: Gấu Thủ Chu Du,0,0,7
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,0,0,5
Linh Miêu: Quỷ Nhập Tràng,0,139,1
Tee Yod 3: Quỷ Ăn Tạng,0,0,1
